2008,8,24,1,21.76,30.36,8.04,NaN,0,0.065,NaN,NaN,NaN,0.506,0.45,0.14,0.2
2008,10,8,1,15.51,31.32,8.39,NaN,0,0.407,NaN,NaN,NaN,0.679,0.91,0.3,0.04
2008,11,30,1,6.96,31.53,10.12,NaN,1.27,0.654,NaN,NaN,13.29,0.953,2.69,0.73,0.32
2009,1,12,1,0.39,31.31,NaN,NaN,3.62,0.678,2.28,NaN,5.79,0.983,1.3,0.51,NaN
2009,3,10,1,2.26,33,NaN,NaN,0.25,0.183,2.32,NaN,20.11,0.649,1.56,0.67,0.99
2009,4,1,1,3.82,31.85,NaN,NaN,0.21,0.324,0.98,NaN,7.77,0.623,0.53,0.18,0.31
2009,5,19,1,13.33,30.71,10.29,NaN,0,0.089,0.52,NaN,4,0.516,0.62,0.16,0.09
2009,6,17,1,16.58,31.4,10.01,NaN,0,0,0.67,NaN,3.51,0.489,0.34,0.29,0.13
2009,7,10,1,17.69,29.69,8.91,NaN,0,0,0.12,NaN,6.63,0.372,0.56,0.66,0.21
2009,8,16,1,21.66,30.65,9.28,NaN,0,0.037,0.08,NaN,4.21,0.513,0.33,0.27,0.19
2009,9,14,1,17.52,30.98,9.23,NaN,0,0.156,3.08,NaN,4.25,0.487,0.47,0.48,0.08
2009,10,2,1,17.04,31.04,8.4,NaN,0,0.113,1.02,NaN,NaN,0.771,1.96,1.39,0.58
2009,11,10,1,11.34,31.35,12.87,NaN,0.09,0.281,0.29,NaN,NaN,0.897,1.98,1.67,0.53
2010,1,14,1,2.1,31.82,13.41,NaN,1.59,0.477,6.61,NaN,6.05,0.68,0.93,0.94,0.21
2010,2,22,1,1.38,32.09,12.98,NaN,0.11,0.058,1.39,NaN,NaN,0.336,1.46,1.28,0.22
2010,3,17,1,4.07,32.14,11.95,NaN,2.05,0.479,1.09,NaN,8.83,0.547,0.97,1,0.17
2010,4,14,1,10.67,30.43,10.48,NaN,0,0.238,0.89,NaN,NaN,0.088,0.59,0.55,0.3
2010,5,16,1,13.05,30.78,10.16,NaN,0,0.045,0,NaN,3.44,0.404,0.68,0.56,0.18
2010,6,11,1,17.76,30.87,8.72,NaN,3.11,0.027,0,NaN,4.16,0.313,0.89,0.64,0.13
2010,7,5,1,23.54,31.26,7.78,NaN,0,0.054,1.41,NaN,11.33,0,0.65,0.46,0.25
2010,8,6,1,24.31,31.85,7.48,NaN,0,0.091,0.3,NaN,8.97,0.528,1.23,0.69,0.3
2010,9,6,1,21.61,31.32,7.91,NaN,0,0,0,NaN,22.06,0.794,1.66,0.57,0.39
2010,10,19,1,14.15,32.37,8.61,NaN,0.14,0.434,1.7,NaN,NaN,0.901,0.72,0.35,0.2
2010,11,16,1,10.84,32.51,10.54,NaN,0.57,0.379,0.92,NaN,8.35,1.03,4.53,1.17,0.2
2010,12,10,1,6.15,32.42,10.38,NaN,0,0.304,0.46,NaN,8.17,0.887,2.53,0.59,0.16
2011,1,6,1,3.0051,32.0005,10.151,93.7582,0.92,0.371,0.73,0.464,22.54,0.814,3.24,0.775,0.53
2011,2,7,1,0.1258,31.2719,11.5774,98.8553,0.17,0.078,0,0.059,3.77,0.481,3.28,1.02,0.4
2011,3,23,1,4.2537,31.8737,11.4673,109.1171,0,0.174,0.162,0.144,17.34,0.43,2.08,0.95,0.2
2011,4,7,1,6.476,31.3487,9.6299,96.2688,0.124,0.195,0.41,0.557,NaN,0.407,0.51,0.21,0.28
